id,name,district_id,active
479,"Hoài Phú",26,1
480,"Nhơn Mỹ",17,1
481,"Cát Hiệp",29,1
482," Đông Hà",54,1
483,"Mỹ Chánh",37,1
484,"Bình Thành",42,1
485,"Hoài Thanh",26,1
486,"Nhơn Khánh",17,1
487,"Cát Trinh",29,1
488,"Bình Nghi",42,1
489,"Mỹ Chánh Tây",37,1
490,"Thị trấn Tuy Phước",48,1
491,"Cát Nhơn",29,1
492,"Hoài Thanh Tây",26,1
493,"Nhơn Phúc",17,1
494,"Bình Tường",42,1
495,"Mỹ Châu",37,1
496,"Thị trấn Diêu Trì",48,1
497,"Nhơn Lộc",17,1
498,"Hoài Hương",26,1
499,"Cát Hưng",29,1
500,"Bình Hòa",42,1
501,"Mỹ Đức",37,1
502,"Phước An",48,1
503,"Cát Tường",29,1
504,"Nhơn Tân",17,1
505,"Hoài Hải",26,1
506,"Mỹ Hiệp",37,1
507,"Phước Hiệp",48,1
508,"Bình Tân",42,1
509,"Nhơn Thọ",17,1
510,"Hoài Xuân",26,1
511,"Cát Tân",29,1
512,"Bình Thuận",42,1
513,"Phước Hòa",48,1
514,"Mỹ Hòa",37,1
515,"Cát Tiến",29,1
516,"Hoài Mỹ",26,1
517,"Tây An",42,1
518,"Phước Hưng",48,1
519,"Mỹ Lộc",37,1
520,"Vân Canh",55,1
521,"Cát Thắng",29,1
522,"Hoài Hảo",26,1
523,"Phước Lộc",48,1
524,"Mỹ Lợi",37,1
525,"Tây Vinh",42,1
526,"Canh Hòa",55,1
527,"Cát Chánh",29,1
528,"Mỹ Phong",37,1
529,"Canh Thuận",55,1
530,"Tây Bình",42,1
531,"Phước Nghĩa",48,1
532,"Vĩnh Sơn",61,1
533,"Tây Xuân",42,1
534,"Canh Hiệp",55,1
535,"Mỹ Quang",37,1
536,"Phước Quang",48,1
537,"Trần Hưng Đạo",66,1
538,"Vĩnh Kim",61,1
539,"Mỹ Tài",37,1
540,"Lê Hồng Phong",66,1
541,"Canh Hiển",55,1
542,"Phước Sơn",48,1
543,"Tây Phú",42,1
544,"Vĩnh Hòa",61,1
545,"Canh Liên",55,1
546,"Mỹ Thành",37,1
547,"Tây Giang",42,1
548,"Phước Thắng",48,1
549,"Lý Thường Kiệt",66,1
550,"Vĩnh Hòa",61,1
551,"Đống Đa",66,1
552,"Mỹ Thọ",37,1
553,"Tây Thuận",42,1
554,"Phước Thành",48,1
555,"Canh Vinh",55,1
556,"Vĩnh Hiệp",61,1
557,"Phước Thuận",48,1
558,"Mỹ Thắng",37,1
559,"Hải Cảng",66,1
560,"Vĩnh Hảo",55,1
561,"Vĩnh An",42,1
562,"Vĩnh Thịnh",61,1
563,"Phú Phong",42,1
564,"Ghềnh Ráng",66,1
565,"Mỹ Trinh",37,1
566,"Vĩnh Quang",61,1
567,"Phường An Bình",56,1
568,"Phường Hoa Lư",51,1
569,"Canh Vinh",42,1
570,"Nhơn Bình",66,1
571,"Vĩnh Thuận",61,1
572,"Phường An Phú",56,1
573,"Phường Yên Đỗ",51,1
574,"Phường Cheo Reo",62,1
575,"Bùi Thị Xuân",66,1
576,"Phường La Kring",51,1
577,"Phường An Phước",56,1
578,"Thị trấn Vĩnh Thạnh",61,1
579," Phường Đoàn Kết",62,1
580,"Hòa Phú",68,1
581,"Lê Lợi",66,1
582,"Ia Phí",68,1
583,"Phường Diên Hồng",51,1
584,"Phường Hòa Bình",62,1
585,"Phường An Tân",56,1
586,"Trần Phú",66,1
587,"Thị trấn Chư Prông",74,1
588,"Phường Sông Bờ",62,1
589,"Phường Ngô Mây",56,1
590,"Thị trấn Phú Hòa ",68,1
591,"Phường Trà Bá",51,1
592,"Bàu Cạn",74,1
593,"Nguyễn Văn Cừ",66,1
594,"Chư Băh",62,1
595,"Phường Tây Sơn",56,1
596,"Thị trấn La Ly",68,1
597,"Phường Hội Phú",51,1
598,"Bình Giáo",74,1
599,"Thị Nại",66,1
600,"Chư Đăng Ya",68,1
601,"Ia R'bol",62,1
602,"Phường Thống Nhất",51,1
603,"Cửu An",56,1
604,"Ia Bang",74,1
605,"Ngô Mây",66,1
606,"Song An",56,1
607,"Ia R'tô",62,1
608,"Chư Jôr",68,1
609,"Phường Hội Thương",51,1
610,"Quang Trung",66,1
611,"Ia Băng",74,1
612,"Phường Thắng Lợi",51,1
613,"Thành An",56,1
614,"Ia Sao",62,1
615,"Đắk Tơ Ver",68,1
616,"Nhơn Phú",66,1
617,"Ia Boòng",74,1
618,"Hà Tây",68,1
619,"Phường Tây Sơn",51,1
620,"Tú An",56,1
621,"Trần Quang Diệu",66,1
622," Ia Drăng",74,1
623,"Thị trấn Nhơn Hòa",77,1
624,"Phường Phù Đổng",51,1
625,"Xuân An",56,1
626,"Ia Ka",68,1
627," Ia Ga",74,1
628,"Chư Don",77,1
629,"Nhơn Lý",66,1
630,"Phường Chi Lăng",51,1
631,"Ia Khươl",68,1
632,"Nhơn Hải",66,1
633,"Ia Blứ",77,1
634,"Ia Kly",74,1
635,"Thị trấn Chư Sê",85,1
636,"Phường Yên Thế",51,1
637,"Ia Kreng",68,1
638,"Ia Dreng",77,1
639,"Al Bá",85,1
640,"Ia Lâu",74,1
641,"Nhơn Châu",66,1
642,"Ia Mơ Nông",68,1
643,"Phường Đống Đa",51,1
644," Ia Me",74,1
645,Ayun,85,1
646,"Nhơn Hội",66,1
647," Ia Hla",77,1
648,"Biển Hồ",51,1
649,"Ia Nhin",68,1
650,"Ia Mơ",74,1
651,"Phước Mỹ",66,1
652,"Ia Hrú",77,1
653,"Bar Măih",85,1
654,"Chư HDrông",51,1
655,"Nghĩa Hòa",68,1
656," Ia Le",77,1
657,"Bờ Ngoong",85,1
658,"Ia O",74,1
659,"Nghĩa Hưng",68,1
660,Gào,51,1
661,"Thị trấn Đắk Đoa",92,1
662,"Ia Phìn",74,1
663," Ia Phang",77,1
664,"Chư Pơng",85,1
665,"An Phú ",51,1
666,"A Dơk",92,1
667,"Ia Rong",77,1
668,"Ia Pia",74,1
669,Dun,85,1
670,"Thị trấn Đak Pơ",95,1
671,"Đắk Krong",92,1
672,"Trà Đa",51,1
673,Hbông,85,1
674,"Phú An",95,1
675,"Ia Piơr",74,1
676," Diên Phú",51,1
677,"Đắk Sơ Mei",92,1
678,"Phường Chánh Phú Hòa",4,1
679,"Ia Púch",74,1
680,"Cư An",95,1
681,"Ia Blang",85,1
682,Glar,92,1
683,"Tân Sơn",51,1
684,"PhườngHòa Lợi",4,1
685,"Ia Tôr",74,1
686,"Ia Glai",85,1
687,"Ya Hội",95,1
688,"Phường Mỹ Phước",4,1
689,"Hà Bầu",92,1
690,"Ia Kênh",51,1
691,"Ia Hlốp",85,1
692,"Ia Vê",74,1
693,"Yang Bắc",95,1
694,"Hà Đông",92,1
695,"Chư Á",51,1
696,"Phường Tân Định",4,1
697," Hà Tam",95,1
698,"Thăng Hưng",74,1
699,"Ia Ko",85,1
700,"Hải Yang",92,1
701,"PhườngThới Hòa",4,1
702,"Ia Pal",85,1
703,"An Thành",95,1
704,"Thị trấn Chư Ty",104,1
705,"Thị trấn Ia Kha",109,1
706,"An Điền",4,1
707,H'neng,92,1
708,"Hà Tam",95,1
709,"Ia Tiêm",85,1
710,"Ia Bă",109,1
711,"Ia Din",104,1
712,H'nol,92,1
713,"An Tây",4,1
714,"Ia Dơk",104,1
715,"Kông Htok",85,1
716,"Ia Chia",109,1
717,"Tân An",95,1
718,"Phú An",4,1
719,"Ia Băng",92,1
720,"Ia Dom",104,1
721," Ia Dêr",109,1
722,"Ia Pết",92,1
723,"Phường An Bình",4,1
724,"Thị trấn Kbang",121,1
725,"Thị trấn Ia Pa",116,1
726," Ia Grăng",109,1
727,"Ia Kla",104,1
728,K'dang,92,1
729,"Chư Mố",116,1
730,"Đăk HLơ",121,1
731,"Ia Hrung",109,1
732,"Ia Krêl",104,1
733,"An Trung",127,1
734,"Ia Broăi",116,1
735," Kon Gang",92,1
736,"Đăk Rong",121,1
737,"Chơ Long",127,1
738,"Ia Kriêng",104,1
739,"Ia Khai",109,1
740,Đông,121,1
741,"Ia KDăm",116,1
742,"Nam Yang",92,1
743,"Ia KRai",109,1
744,"Chư Krêy",127,1
745,"Ia Lang",104,1
746,"Tân Bình",92,1
747,"Ia Tul",116,1
748,"Đak SMar",121,1
749," Ia O",109,1
750,"Ia Nan",104,1
751,"Đăk Pling",127,1
752," Ia Trok",116,1
753,Trang,92,1
754,"Kông Lơng Khơng",121,1
755," Ia Pnôn",104,1
756,"Đăk Song",127,1
757,"Ia Pếch",109,1
758,"Kông Pla",121,1
759,"Ia Mrơn",116,1
760,"Ia Sao",109,1
761," Đăk Tơ Pang",127,1
762,"Thị trấn Phú Túc ",134,1
763,"Thị trấn Kon Dơng",138,1
764,"Pờ Tó",116,1
765," Kon Pne",121,1
766," Ia Tô ",109,1
